Category,Disease,Clinical_Feature,Importance,Rank
Cancers,Secondary_Malignancy_Lung,Insomnia: Sometimes,0.07734397,2
Cancers,Secondary_Malignancy_Lung,Smoking: Never,0.07173001,3
Cancers,Secondary_Malignancy_Lung,Drive faster than limit: Never/rarely,0.070225485,4
Cancers,Secondary_Malignancy_Lung,Daytime nap: Never/rarely,0.069313414,5
Cancers,Secondary_Malignancy_Lung,Facial ageing: Younger than you are,0.06844989,6
Cancers,Secondary_Malignancy_Lung,Bread: Wholemeal,0.066508375,7
Cancers,Secondary_Malignancy_Lung,Days/week of moderate physical activity,0.06444833,8
Cancers,Secondary_Malignancy_Lung,Walking pace: Steady/average,0.06426582,9
Cancers,Secondary_Malignancy_Lung,Snoring: Yes,0.06227727,10
Cancers,Secondary_Malignancy_Lung,Water intake,0.05680804,11
Cancers,Secondary_Malignancy_Lung,Father: Heart disease,0.055822767,12
Cancers,Secondary_Malignancy_Lung,Time spent using computer,0.05315075,13
Cancers,Secondary_Malignancy_Lung,Days/week of vigorous physical activity,0.053039253,14
Cancers,Secondary_Malignancy_Lung,Daytime nap: Sometimes,0.04873136,15
Cancers,Secondary_Malignancy_Lung,Mobile use vs 2yrs: No,0.046948504,16
Cancers,Secondary_Malignancy_Lung,Hot drink temp: Hot,0.04635661,17
Cancers,Secondary_Malignancy_Lung,Insomnia: Never/rarely,0.04501047,18
Cancers,Secondary_Malignancy_Lung,Time spent outdoors in summer,0.04235296,19
Cancers,Secondary_Malignancy_Lung,Salt added: Sometimes,0.042271905,20
Cancers,Secondary_Malignancy_Lung,Beef: 1/week,0.041915227,21
Cancers,Secondary_Malignancy_Lung,Diet change: No,0.041593693,22
Cancers,Secondary_Malignancy_Lung,Past smoking: Tried once/twice,0.04148543,23
Cancers,Secondary_Malignancy_Lung,Mobile use vs 2yrs: More now,0.03921452,24
Cancers,Secondary_Malignancy_Lung,Time spent watching TV,0.03814484,25
Cancers,Secondary_Malignancy_Other_organs,Water intake,0.0755048,1
Cancers,Secondary_Malignancy_Other_organs,Pork: <1/week,0.054482717,2
Cancers,Secondary_Malignancy_Other_organs,Tea intake,0.05072402,3
Cancers,Secondary_Malignancy_Other_organs,Oily fish: <1/week,0.048222017,4
Cancers,Secondary_Malignancy_Other_organs,Past smoking: Most/all days,0.047164496,5
Cancers,Secondary_Malignancy_Other_organs,Bread intake,0.045724656,6
Cancers,Secondary_Malignancy_Other_organs,Mobile use vs 2yrs: No,0.045678012,7
Cancers,Secondary_Malignancy_Other_organs,Days/week of moderate physical activity,0.043857247,8
Cancers,Secondary_Malignancy_Other_organs,Smoking: Never,0.04333279,9
Cancers,Secondary_Malignancy_Other_organs,Coffee intake,0.042536065,10
Cancers,Secondary_Malignancy_Other_organs,Sleep duration,0.04131958,11
Cancers,Secondary_Malignancy_Other_organs,Mother: High blood pressure,0.04106444,12
Cancers,Secondary_Malignancy_Other_organs,Lamb/mutton: <1/week,0.041013975,13
Cancers,Secondary_Malignancy_Other_organs,Oily fish: 1/week,0.040352274,14
Cancers,Secondary_Malignancy_Other_organs,Time spent watching TV,0.040275775,15
Cancers,Secondary_Malignancy_Other_organs,Drive faster: Sometimes,0.04016221,16
Cancers,Secondary_Malignancy_Other_organs,Past smoking: Never,0.03836539,17
Cancers,Secondary_Malignancy_Other_organs,Non-oily fish: <1/week,0.035195492,18
Cancers,Secondary_Malignancy_Other_organs,Alcohol vs 10yrs ago: Less now,0.035097163,19
Cancers,Secondary_Malignancy_Other_organs,Time spent outdoors in summer,0.034413185,20
Cancers,Secondary_Malignancy_Other_organs,Mobile use: Five to eight years,0.03362035,21
Cancers,Secondary_Malignancy_Other_organs,Stair climbing: 6-10 times,0.03353164,22
Cancers,Secondary_Malignancy_Other_organs,Insomnia: Usually,0.032424312,23
Cancers,Secondary_Malignancy_Other_organs,Mobile hand: Left,0.03211624,24
Cancers,Secondary_Malignancy_Other_organs,Days/week of vigorous physical activity,0.03152067,25
Cancers,Secondary_Malignancy_Lymph_Nodes,Time spent outdoors in summer,0.061250832,1
Cancers,Secondary_Malignancy_Lymph_Nodes,Time spent watching TV,0.056215953,2
Cancers,Secondary_Malignancy_Lymph_Nodes,Days/week of walk 10+ mins,0.040570136,3
Cancers,Secondary_Malignancy_Lymph_Nodes,Ever smoked: No,0.035168566,4
Cancers,Secondary_Malignancy_Lymph_Nodes,Ever smoked: Yes,0.0335126,5
Cancers,Secondary_Malignancy_Lymph_Nodes,Days/week of moderate physical activity,0.028714633,6
Cancers,Secondary_Malignancy_Lymph_Nodes,Walking pace: Brisk,0.028643414,7
Cancers,Secondary_Malignancy_Lymph_Nodes,Bread intake,0.028317245,8
Cancers,Secondary_Malignancy_Lymph_Nodes,Past smoking: Never,0.027430182,9
Cancers,Secondary_Malignancy_Lymph_Nodes,Raw vegetable intake,0.027307672,10
Cancers,Secondary_Malignancy_Lymph_Nodes,Cereal intake,0.027289169,11
Cancers,Secondary_Malignancy_Lymph_Nodes,Time spent using computer,0.026596034,12
Cancers,Secondary_Malignancy_Lymph_Nodes,Days/week of vigorous physical activity,0.025215302,13
Cancers,Secondary_Malignancy_Lymph_Nodes,Cooked vegetable intake,0.024006665,14
Cancers,Secondary_Malignancy_Lymph_Nodes,Skin tanning: Get moderately tanned,0.023767177,15
Cancers,Secondary_Malignancy_Lymph_Nodes,Time spent driving,0.02219939,16
Cancers,Secondary_Malignancy_Lymph_Nodes,Water intake,0.021958169,17
Cancers,Secondary_Malignancy_Lymph_Nodes,Salt added: Never/rarely,0.01907239,18
Cancers,Secondary_Malignancy_Lymph_Nodes,Pork: 1/week,0.018747235,19
Cancers,Secondary_Malignancy_Lymph_Nodes,Mother: High blood pressure,0.018565066,20
Cancers,Secondary_Malignancy_Lymph_Nodes,Walking pace: Steady/average,0.018373808,21
Cancers,Secondary_Malignancy_Lymph_Nodes,Hair colour: Dark brown,0.018142655,22
Cancers,Secondary_Malignancy_Lymph_Nodes,Smoking: Never,0.017933873,23
Cancers,Secondary_Malignancy_Lymph_Nodes,Mobile use vs 2yrs: No,0.01786267,24
Cancers,Secondary_Malignancy_Lymph_Nodes,Mobile use: More than eight years,0.017575355,25
Cancers,Secondary_Malignancy_Bone,Time spent watching TV,0.15818477,1
Cancers,Secondary_Malignancy_Bone,Smoking: Never,0.116674796,2
Cancers,Secondary_Malignancy_Bone,Days/week of vigorous physical activity,0.0970271,3
Cancers,Secondary_Malignancy_Bone,Ever smoked: No,0.092579074,4
Cancers,Secondary_Malignancy_Bone,Water intake,0.08840497,5
Cancers,Secondary_Malignancy_Bone,Time spent outdoors in summer,0.0858019,6
Cancers,Secondary_Malignancy_Bone,Mobile use vs 2yrs: More now,0.0844179,7
Cancers,Secondary_Malignancy_Bone,Days/week of moderate physical activity,0.083425194,8
Cancers,Secondary_Malignancy_Bone,Pork: <1/week,0.07852398,9
Cancers,Secondary_Malignancy_Bone,Coffee intake,0.07750518,10
Cancers,Secondary_Malignancy_Bone,Days/week of walk 10+ mins,0.074482486,11
Cancers,Secondary_Malignancy_Bone,Tea intake,0.07271955,12
Cancers,Secondary_Malignancy_Bone,Past smoking: Never,0.06843388,13
Cancers,Secondary_Malignancy_Bone,Time spent driving,0.06275487,14
Cancers,Secondary_Malignancy_Bone,Time spent outdoors in winter,0.06145,15
Cancers,Secondary_Malignancy_Bone,Get up: Fairly easy,0.05759042,16
Cancers,Secondary_Malignancy_Bone,Diet variation: Sometimes,0.056944005,17
Cancers,Secondary_Malignancy_Bone,Father: Heart disease,0.05621427,18
Cancers,Secondary_Malignancy_Bone,Mobile use: More than eight years,0.05596985,19
Cancers,Secondary_Malignancy_Bone,Alcohol vs 10yrs ago: About the same,0.055378288,20
Cancers,Secondary_Malignancy_Bone,Ever smoked: Yes,0.05476584,21
Cancers,Secondary_Malignancy_Bone,Raw vegetable intake,0.05419515,22
Cancers,Secondary_Malignancy_Bone,Alcohol vs 10yrs ago: Less now,0.0541751,23
Cancers,Secondary_Malignancy_Bone,Diet change: Yes (other),0.05054126,24
Cancers,Secondary_Malignancy_Bone,Walking pace: Brisk,0.047367834,25
Cancers,Secondary_Malignancy_retroperitoneum_and_peritoneum,Sleep duration,0.056368086,1
Cancers,Secondary_Malignancy_retroperitoneum_and_peritoneum,Poultry: 2-4/week,0.05201922,2
Cancers,Secondary_Malignancy_retroperitoneum_and_peritoneum,Time spent watching TV,0.050417483,3
Cancers,Secondary_Malignancy_retroperitoneum_and_peritoneum,Days/week of vigorous physical activity,0.048638158,4
Cancers,Secondary_Malignancy_retroperitoneum_and_peritoneum,Time spent using computer,0.044726975,5
Cancers,Secondary_Malignancy_retroperitoneum_and_peritoneum,Mobile use: More than eight years,0.04309542,6
