"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","intracellular vesicle","GO:0097708","0.00018739101638626818","3.7272512332315406","2556","13","9","22155","SERPINE1,SRC,VIM,KLK3,VWF,CEACAM8,CHIT1,APP,SFTPD"
"GO:CC","secretory granule","GO:0030141","0.00020199233881130422","3.6946651022121486","906","11","6","22155","SERPINE1,KLK3,VWF,CEACAM8,CHIT1,APP"
"GO:CC","platelet alpha granule lumen","GO:0031093","0.0004860235451129844","3.3133426910978785","67","11","3","22155","SERPINE1,VWF,APP"
"GO:CC","secretory vesicle","GO:0099503","0.00057335837007007","3.2415738431390824","1084","11","6","22155","SERPINE1,KLK3,VWF,CEACAM8,CHIT1,APP"
"GO:CC","vesicle","GO:0031982","0.0007459711021972417","3.127277996118968","4032","13","10","22155","SERPINE1,SRC,VIM,KLK3,GSTA1,VWF,CEACAM8,CHIT1,APP,SFTPD"
"GO:CC","extracellular region","GO:0005576","0.0012209924655068641","2.9132870159886872","4249","13","10","22155","SERPINE1,SRC,VIM,KLK3,GSTA1,VWF,CEACAM8,CHIT1,APP,SFTPD"
"GO:CC","platelet alpha granule","GO:0031091","0.0012654696758808513","2.8977482572662194","92","11","3","22155","SERPINE1,VWF,APP"
"GO:CC","secretory granule lumen","GO:0034774","0.0015491514009829382","2.809906135889414","324","11","4","22155","SERPINE1,VWF,CHIT1,APP"
"GO:CC","cytoplasmic vesicle lumen","GO:0060205","0.0016453817862260493","2.7837333144841225","329","11","4","22155","SERPINE1,VWF,CHIT1,APP"
"GO:CC","vesicle lumen","GO:0031983","0.0016651457341197858","2.778547750893806","330","11","4","22155","SERPINE1,VWF,CHIT1,APP"
"REAC","Circadian clock","REAC:R-HSA-9909396","0.005245325512084239","2.280227555379783","27","3","2","11056","TBL1X,SERPINE1"
"REAC","BMAL1:CLOCK,NPAS2 activates circadian expression","REAC:R-HSA-1368108","0.005245325512084239","2.280227555379783","27","3","2","11056","TBL1X,SERPINE1"
"REAC","GRB2:SOS provides linkage to MAPK signaling for Integrins ","REAC:R-HSA-354194","0.012656463698841401","1.8976876221713832","14","8","2","11056","SRC,VWF"
"REAC","p130Cas linkage to MAPK signaling for integrins","REAC:R-HSA-372708","0.01459832606787347","1.8356969401856975","15","8","2","11056","SRC,VWF"
"REAC","Platelet activation, signaling and aggregation","REAC:R-HSA-76002","0.02600520865321412","1.5849396573063386","259","11","4","11056","SERPINE1,SRC,VWF,APP"
"REAC","Extracellular matrix organization","REAC:R-HSA-1474244","0.04480658905396952","1.34865811592678","298","11","4","11056","SERPINE1,VWF,CEACAM8,APP"
"REAC","Integrin signaling","REAC:R-HSA-354192","0.04500568914799026","1.346732583793364","26","8","2","11056","SRC,VWF"
"WP","Blood clotting cascade","WP:WP272","0.02217872289265971","1.6540634652490405","22","8","2","8899","SERPINE1,VWF"
"WP","TROP2 regulatory signaling","WP:WP5300","0.032423443314282555","1.4891408657063674","44","5","2","8899","SRC,VIM"
"CORUM","SMRT core complex","CORUM:752","0.024909743695339943","1.6036307410412618","3","1","1","3383","TBL1X"
"CORUM","SMRT core complex","CORUM:1188","0.024909743695339943","1.6036307410412618","3","1","1","3383","TBL1X"
"CORUM","Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X)","CORUM:1255","0.03321299159379491","1.4786920044328529","4","1","1","3383","TBL1X"
"CORUM","NCOR-HDAC3 complex","CORUM:741","0.04151623949224052","1.3817819914248293","5","1","1","3383","TBL1X"
"CORUM","SMRT complex","CORUM:58","0.04151623949224052","1.3817819914248293","5","1","1","3383","TBL1X"
"CORUM","NCOR complex","CORUM:15","0.04981948739068613","1.3026007453772261","6","1","1","3383","TBL1X"
